      Jour      Heure     Minute       Nobs Moyenne(ppm) 
         2          0         10         20        243 
         2          0         11         20        484 
         2          0         12         20        639 
         2          0         13         20        437 
         2          0         14         20        289 
         2          0         15         20        281 
         2          0         16         20        333 
         2          0         17         20        187 
         2          0         18         20        152 
         2          0         19         20        146 
         2          0         20         20        255 
         2          0         21         20        169 
         2          0         22         20        142 
         2          0         23         20        141 
         2          0         24         20        348 
         2          0         25         20        282 
         2          0         26         20        172 
         2          0         27         20        154 
         2          0         28         20        186 
         2          0         29         20        254 
         2          0         30         20        549 
         2          0         31         20        521 
         2          0         32         20        513 
         2          0         33         20        519 
         2          0         34         20        596 
         2          0         35         20        510 
         2          0         36         20        311 
         2          0         37         20        204 
         2          0         38         20        181 
         2          0         39         20        146 
         2          0         40         20        141 
         2          0         41         20        145 
         2          0         42         20        140 
         2          0         43         20        136 
         2          0         44         20        166 
         2          0         45         20        290 
         2          0         46         20        227 
         2          0         47         20        175 
         2          0         48         20        187 
         2          0         49         20        190 
         2          0         50         20        347 
         2          0         51         20        511 
         2          0         52         20        269 
         2          0         53         20        402 
         2          0         54         20        591 
         2          0         55         20        675 
         2          0         56         20        578 
         2          0         57         20        503 
         2          0         58         20        509 
         2          0         59         20        531 
         2          1          0         20        314 
         2          1          1         20        252 
         2          1          2         20        177 
         2          1          3         20        373 
         2          1          4         20        463 
         2          1          5         20        440 
         2          1          6         19        607 
         2          1          7         20        413 
         2          1          8         20        182 
         2          1          9         20        146 
         2          1         10         20        143 
         2          1         11         20        161 
         2          1         12         20        136 
         2          1         13         20        129 
         2          1         14         20        153 
         2          1         15         20        192 
         2          1         16         20        145 
         2          1         17         20        137 
         2          1         18         20        135 
         2          1         19         20        127 
         2          1         20         20        130 
         2          1         21         20        126 
         2          1         22         20        124 
         2          1         23         20        132 
         2          1         24         20        124 
         2          1         25         20        122 
         2          1         26         20        123 
         2          1         27         20        128 
         2          1         28         20        136 
         2          1         29         20        132 
         2          1         30         20        126 
         2          1         31         20        129 
         2          1         32         20        132 
         2          1         33         20        145 
         2          1         34         20        194 
         2          1         35         20        377 
         2          1         36         20        552 
         2          1         37         20        550 
         2          1         38         20        612 
         2          1         39         20        525 
         2          1         40         20        581 
         2          1         41         20        706 
         2          1         42         20        679 
         2          1         43         20        660 
         2          1         44         20        513 
         2          1         45         20        428 
         2          1         46         20        598 
         2          1         47         20        238 
         2          1         48         20        162 
         2          1         49         20        210 
         2          1         50         20        188 
         2          1         51         20        195 
         2          1         52         20        423 
         2          1         53         20        573 
         2          1         54         20        596 
         2          1         55         20        733 
         2          1         56         20        506 
         2          1         57         20        331 
         2          1         58         20        260 
         2          1         59         20        160 
         2          2          0         20        133 
         2          2          1         20        131 
         2          2          2         20        131 
         2          2          3         20        247 
         2          2          4         20        755 
         2          2          5         20        938 
